surrogate_id,activation,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
H-1,relu,16,1,3,otm_medium,5000,0.000852928588303282,0.0022325489670038225,0.003095757886767392,0.016515946574979786,0.04404519945383073,0.06327711436897523
H-1,relu,17,2,3,atm_medium,5000,0.0011550118893341277,0.002783445268869401,0.0038803497701883328,0.02050859344351338,0.05592155754566193,0.08940132111310964
H-1,relu,18,3,3,itm_medium,5000,0.0013900141447782516,0.0031496047973632816,0.004089082181453707,0.014607010126113892,0.03570053577423096,0.05063615739345555
H-1,relu,19,4,3,deep_itm_medium,5000,0.0020245648562908173,0.004272177815437317,0.005604607462883003,0.010797891819477082,0.027611097693443304,0.040535657405853305
H-1,relu,20,0,4,deep_otm_long,5000,0.0007169537390071231,0.001962806470692159,0.0028514397889375744,0.012651887186655353,0.03654406666755677,0.04996763147413732
H-1,relu,21,1,4,otm_long,5000,0.0010335349825443827,0.0025889027863740923,0.0037323251366615296,0.017576980628280562,0.047688068449497224,0.07188358783721928
H-1,relu,22,2,4,atm_long,5000,0.001292500694462433,0.0030989311635494232,0.004422817081213002,0.01795227372692898,0.04705200493335725,0.07927172124385862
H-1,relu,23,3,4,itm_long,5000,0.0015379122242331505,0.003532308340072632,0.004738653302192692,0.014282626295089721,0.03482044637203218,0.052539288997650264
H-1,relu,24,4,4,deep_itm_long,5000,0.002137388503551483,0.004552894830703737,0.006196548342704774,0.012301811039447785,0.03114777803421022,0.04820784032344823
H-2,softplus,0,0,0,deep_otm_weekly,5000,0.0006651871326622591,0.0025928856656491934,0.00479788357391954,0.0064881060331706125,0.0225382359047315,0.037308454211510564
H-2,softplus,1,1,0,otm_weekly,5000,0.002356538215634298,0.007219362603118287,0.009943005052351081,0.022179966090310397,0.05965744182467461,0.0875176066160202
H-2,softplus,2,2,0,atm_weekly,5000,0.0035379876459141145,0.009820222621783616,0.013592187222093354,0.05659414503359406,0.18189961612224584,0.26556901432806634
H-2,softplus,3,3,0,itm_weekly,5000,0.00501481070369482,0.011056797951459887,0.01392191544175149,0.03091803023815155,0.07019433677196503,0.09013750851154331
H-2,softplus,4,4,0,deep_itm_weekly,5000,0.005137735629081726,0.010794299840927129,0.013777784109115624,0.016233314514160158,0.05590655803680422,0.08685551583766951
H-2,softplus,5,0,1,deep_otm_short,5000,0.00045399965153357445,0.0015072443086864963,0.002992574489189795,0.0042382796294093165,0.013479194619143021,0.02189672588613179
H-2,softplus,6,1,1,otm_short,5000,0.0013545009046647238,0.004401376688292658,0.006384043193882438,0.014807152417588542,0.03839583694934846,0.06255306504224468
H-2,softplus,7,2,1,atm_short,5000,0.0029486582915614784,0.006889423727989197,0.009708040542900576,0.03403962187645822,0.11810326203703882,0.22487088013440373
H-2,softplus,8,3,1,itm_short,5000,0.0033805050522089006,0.007633526623249059,0.010814016610383993,0.016084653627872467,0.0432015061378479,0.06278554916381841
H-2,softplus,9,4,1,deep_itm_short,5000,0.00403984141945839,0.00877477526664734,0.01172692120075226,0.015281488382816314,0.05247409343719484,0.08236080884933476
H-2,softplus,10,0,2,deep_otm_medium_short,5000,0.00034971544158762346,0.0010917369212620543,0.00182191101834178,0.0033325197256380535,0.009556390937359539,0.01573392149060965
H-2,softplus,11,1,2,otm_medium_short,5000,0.0010821734225177767,0.00330821704119444,0.005004962831735613,0.013926880988850684,0.03566358983516694,0.048459802865982206
H-2,softplus,12,2,2,atm_medium_short,5000,0.0033734579110649065,0.006587129458785057,0.00850387185811998,0.02276567112139892,0.07634459584951402,0.1784936291724453
H-2,softplus,13,3,2,itm_medium_short,5000,0.003233327305316925,0.00664464607834816,0.008397779017686853,0.011621268796920776,0.028074097633361828,0.044751741290092475
H-2,softplus,14,4,2,deep_itm_medium_short,5000,0.0035194762945175173,0.007151088118553164,0.009488920569419875,0.013958003568649293,0.04509875774383545,0.06904464125633276
H-2,softplus,15,0,3,deep_otm_medium,5000,0.0007192707965410875,0.0024057775735855103,0.0035008274205029014,0.006029513756173368,0.01805009753443301,0.027333050370216383
H-2,softplus,16,1,3,otm_medium,5000,0.0014424656130195032,0.0036379144527018074,0.005291019529104243,0.010533188233548157,0.032162468135356906,0.06510749816894534
H-2,softplus,17,2,3,atm_medium,5000,0.0025148936843746926,0.005325857177376747,0.007247730325907472,0.013567513204389252,0.03732435107231143,0.12470746777951788
H-2,softplus,18,3,3,itm_medium,5000,0.003006545475125313,0.005640093982219697,0.007413184344768524,0.010543293726444244,0.024199590086936958,0.033800020813942004
H-2,softplus,19,4,3,deep_itm_medium,5000,0.0038754124641418456,0.007555902004241947,0.009398751258850112,0.013827305006980897,0.03973942101001743,0.0587326341867447
H-2,softplus,20,0,4,deep_otm_long,5000,0.00133159107272036,0.0037711683660745622,0.005767874345183374,0.008969136745566954,0.025378780066967015,0.041730895382352216
H-2,softplus,21,1,4,otm_long,5000,0.0021965858422822284,0.005015855145757088,0.00718634597957135,0.011622501539448665,0.03492475834209473,0.0772289741039278
H-2,softplus,22,2,4,atm_long,5000,0.003178278220811262,0.006145447865128521,0.009186689704656605,0.012533374228095636,0.03167087435722353,0.08699071645736696
H-2,softplus,23,3,4,itm_long,5000,0.0031310486972332,0.00628625899553299,0.008711673319339757,0.009647989058494568,0.020449998974800113,0.030557104945182833
H-2,softplus,24,4,4,deep_itm_long,5000,0.0037815785944461822,0.007831805944442752,0.010673615336418156,0.014280580413341522,0.03532537519931794,0.05581360876560212
H-3,swish,0,0,0,deep_otm_weekly,5000,0.001088445662069567,0.003070674724949643,0.006803478567617287,0.011242815897125008,0.026202705293511007,0.04009045643102059
H-3,swish,1,1,0,otm_weekly,5000,0.002197626358374642,0.0064401180925870005,0.009936367009600003,0.02413025881642342,0.06510015353560449,0.09327097616816525
H-3,swish,2,2,0,atm_weekly,5000,0.00434130549419122,0.009302636608481407,0.012337174117565174,0.05410171406925758,0.1760079801082611,0.26236161649227185
H-3,swish,3,3,0,itm_weekly,5000,0.00279574129730463,0.006514437496662141,0.008526095971465114,0.025166965663433075,0.056853881478309644,0.07873063385486603
H-3,swish,4,4,0,deep_itm_weekly,5000,0.001694662606716156,0.004422590136528016,0.006387175321578981,0.008849226760864257,0.023914334177970887,0.03461954891681677
H-3,swish,5,0,1,deep_otm_short,5000,0.0006845487526317718,0.0018718583547212124,0.0033938057397118445,0.007346280723853855,0.017294028345621017,0.024169612038604092
H-3,swish,6,1,1,otm_short,5000,0.0011471754086859345,0.0032824444429024884,0.005390458079054955,0.012746428845339598,0.03450474696285825,0.058629507585210516
H-3,swish,7,2,1,atm_short,5000,0.0017521171781807428,0.005460250703617936,0.008520016708644123,0.02672234855560728,0.10287295447196816,0.1913993306830527
H-3,swish,8,3,1,itm_short,5000,0.0014058457776904105,0.0035867258906364446,0.004836974889039995,0.009480805921554565,0.027087649703025837,0.04496923625469213
H-3,swish,9,4,1,deep_itm_short,5000,0.0016056895673274994,0.0036109566688537617,0.0050373780727386505,0.005596990597248077,0.016726732254028327,0.026341072320938158
H-3,swish,10,0,2,deep_otm_medium_short,5000,0.00040880459415451815,0.0011143406846940707,0.0018632022989913846,0.004518286443122454,0.01163166304183484,0.01622371756006034
