surrogate_id,activation,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
BS-1,relu,14,4,2,deep_itm_medium_short,5000,0.0036399833738803866,0.0067106932401657104,0.008071327209472658,0.019297281873226164,0.05427157878875734,0.0787422513961792
BS-1,relu,15,0,3,deep_otm_medium,5000,0.00081886884304933,0.0018140502274036413,0.0023338251188397413,0.012162962026694273,0.039560200273990646,0.06341590970754632
BS-1,relu,16,1,3,otm_medium,5000,0.0011739560323965322,0.0024729721248149877,0.003001667559146881,0.02382101181195021,0.06729504466056824,0.10143320262432125
BS-1,relu,17,2,3,atm_medium,5000,0.0017210909621713198,0.00336984395980835,0.004072636477649217,0.035827025354030775,0.09715480506420136,0.1583372384309769
BS-1,relu,18,3,3,itm_medium,5000,0.0020964416414499284,0.0042578399181365965,0.0051702249050140404,0.03253255894184112,0.09109911024570466,0.14334472298622164
BS-1,relu,19,4,3,deep_itm_medium,5000,0.0035790726006031037,0.006753388047218324,0.008100975751876831,0.019927796971797942,0.054549264907836924,0.07800426244735723
BS-1,relu,20,0,4,deep_otm_long,5000,0.0010495594346373962,0.0023349937051534656,0.003084743916988379,0.018885288430732474,0.05941415429115298,0.08999371767044072
BS-1,relu,21,1,4,otm_long,5000,0.0015145619208762695,0.0031565193086862567,0.0038417106866836565,0.026244285420707184,0.07095914483070374,0.10534763455390937
BS-1,relu,22,2,4,atm_long,5000,0.0021288676871685313,0.004197509586811066,0.005126382410526276,0.03203660131841898,0.08393768966197974,0.13894677758216886
BS-1,relu,23,3,4,itm_long,5000,0.0027074289187788963,0.005121980607509614,0.006116694808006296,0.02692571243047714,0.07267705798149114,0.11435311257839217
BS-1,relu,24,4,4,deep_itm_long,5000,0.003999094831943512,0.00784287452697754,0.009412407875061035,0.020763174653053284,0.054302078485488896,0.08203262209892298
BS-2,softplus,0,0,0,deep_otm_weekly,5000,0.001821632591812705,0.005040253146685104,0.006638853708691386,0.011580312788770059,0.02713589128397872,0.050921288155950685
BS-2,softplus,1,1,0,otm_weekly,5000,0.0036341187234414816,0.012850970542058351,0.01611386047676206,0.05657629762671123,0.12718609506264328,0.14214228756725794
BS-2,softplus,2,2,0,atm_weekly,5000,0.014262895337388653,0.023482080176472665,0.02673399187624455,0.08708793347677367,0.21108694672584535,0.32396048903465274
BS-2,softplus,3,3,0,itm_weekly,5000,0.005621392452716828,0.016542722284793865,0.021605478078126916,0.0640252717256546,0.11876423060894013,0.13364103257656101
BS-2,softplus,4,4,0,deep_itm_weekly,5000,0.004627705502510071,0.009817150235176087,0.01163009524345399,0.02209222024679184,0.061702874302864086,0.07788672864437104
BS-2,softplus,5,0,1,deep_otm_short,5000,0.0009100336548730848,0.0025709856714250636,0.0037085862368167063,0.008840781066296838,0.028751966170966644,0.04175504397600894
BS-2,softplus,6,1,1,otm_short,5000,0.0029256435391670386,0.00812060474418104,0.010508035169914368,0.031641407571130466,0.06993486490100623,0.08287900213152173
BS-2,softplus,7,2,1,atm_short,5000,0.008495848103136952,0.014057443477213386,0.015935976163018502,0.04757270804692438,0.16494489796459677,0.2882125609740625
BS-2,softplus,8,3,1,itm_short,5000,0.004901365102827549,0.010807295888662338,0.014129461497068407,0.03422595269680023,0.0802024006843567,0.11545581459999087
BS-2,softplus,9,4,1,deep_itm_short,5000,0.005377676612138748,0.010330583155155183,0.0124772721529007,0.020315178108215332,0.06586593687534333,0.08068543434143068
BS-2,softplus,10,0,2,deep_otm_medium_short,5000,0.0010239142750614711,0.00295753323007375,0.003564743902534248,0.005380337449165393,0.013790309801697735,0.018681102748960274
BS-2,softplus,11,1,2,otm_medium_short,5000,0.0018432699832920268,0.0036952799651771787,0.004658406674861908,0.011596686045583242,0.0260018444620073,0.04735862700259537
