surrogate_id,sampler,bin_id,moneyness_idx,maturity_idx,bin_label,is_critical,n_points,price_mae_mean,price_mae_p95,price_mae_p99,iv_mae_mean,iv_mae_p95,iv_mae_p99,iv_failure_rate
H-3,uniform,13,3,2,itm_medium_short,False,5000,0.0009989744901657105,0.0024977996945381173,0.0033086223155260096,0.012146383137913282,0.039258226597424645,0.06920322622301703,0.0144
H-3,uniform,14,4,2,deep_itm_medium_short,False,5000,0.0017240840256214141,0.0032837808132171633,0.004323552250862123,0.08069031892149565,0.28331001046262366,0.440054037659421,0.015
H-3,uniform,15,0,3,deep_otm_medium,False,5000,0.0003825501202495469,0.0010026257252320648,0.0016251608170568962,0.027936095769003556,0.1477577156248147,0.4437221093542072,0.0938
H-3,uniform,16,1,3,otm_medium,False,5000,0.0005892156159769723,0.0016518780961632732,0.003407371876528516,0.004054276638527242,0.01493039303105666,0.03641369430704955,0.028
H-3,uniform,17,2,3,atm_medium,False,5000,0.00077210622230632,0.002196840569376946,0.004254905078560124,0.0028475203030031643,0.008400341207450812,0.016634975846471823,0.0006
H-3,uniform,18,3,3,itm_medium,False,5000,0.0006925961300730706,0.0017548322677612307,0.0026482959091663366,0.003115131108996016,0.009151641167374769,0.019641678560538875,0.0038
H-3,uniform,19,4,3,deep_itm_medium,False,5000,0.0013899893641471863,0.002737593650817871,0.0035195511579513565,0.014310175762793751,0.053188108249706975,0.1361600232381356,0.0046
H-3,uniform,20,0,4,deep_otm_long,False,5000,0.0005242880093172948,0.0013857997948889535,0.0031269066551453816,0.008452603269031923,0.03115768063017623,0.15500034261324885,0.0648
H-3,uniform,21,1,4,otm_long,False,5000,0.00072435786026458,0.0020695149432867774,0.0045387107459828316,0.0022434035785301475,0.006983276371940043,0.02003854501771791,0.0166
H-3,uniform,22,2,4,atm_long,False,5000,0.0009610435983104253,0.002294121682643891,0.005822685193270458,0.002220718986914886,0.005410979847397038,0.013191227141390642,0.0008
