surrogate_id,role,loss,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
H-3,baseline_large,price,2,2,0,atm_weekly,5000,0.00434130549419122,0.009302636608481407,0.012337174117565174,0.05410171406925758,0.1760079801082611,0.26236161649227185
H-3,baseline_large,price,3,3,0,itm_weekly,5000,0.00279574129730463,0.006514437496662141,0.008526095971465114,0.025166965663433075,0.056853881478309644,0.07873063385486603
H-3,baseline_large,price,4,4,0,deep_itm_weekly,5000,0.001694662606716156,0.004422590136528016,0.006387175321578981,0.008849226760864257,0.023914334177970887,0.03461954891681677
H-3,baseline_large,price,5,0,1,deep_otm_short,5000,0.0006845487526317718,0.0018718583547212124,0.0033938057397118445,0.007346280723853855,0.017294028345621017,0.024169612038604092
H-3,baseline_large,price,6,1,1,otm_short,5000,0.0011471754086859345,0.0032824444429024884,0.005390458079054955,0.012746428845339598,0.03450474696285825,0.058629507585210516
H-3,baseline_large,price,7,2,1,atm_short,5000,0.0017521171781807428,0.005460250703617936,0.008520016708644123,0.02672234855560728,0.10287295447196816,0.1913993306830527
H-3,baseline_large,price,8,3,1,itm_short,5000,0.0014058457776904105,0.0035867258906364446,0.004836974889039995,0.009480805921554565,0.027087649703025837,0.04496923625469213
H-3,baseline_large,price,9,4,1,deep_itm_short,5000,0.0016056895673274994,0.0036109566688537617,0.0050373780727386505,0.005596990597248077,0.016726732254028327,0.026341072320938158
H-3,baseline_large,price,10,0,2,deep_otm_medium_short,5000,0.00040880459415451815,0.0011143406846940707,0.0018632022989913846,0.004518286443122454,0.01163166304183484,0.01622371756006034
H-3,baseline_large,price,11,1,2,otm_medium_short,5000,0.000750869881155156,0.00180073706433177,0.002655486445873982,0.009839453087049407,0.02832288220524789,0.04376222930848602
H-3,baseline_large,price,12,2,2,atm_medium_short,5000,0.0010835760123023648,0.00310566918924451,0.005282681267708548,0.015519126451597549,0.05510021299123765,0.14989027570001795
H-3,baseline_large,price,13,3,2,itm_medium_short,5000,0.0009989744901657105,0.0024977996945381173,0.0033086223155260096,0.0058985588788986205,0.01622283458709718,0.026811793446540905
H-3,baseline_large,price,14,4,2,deep_itm_medium_short,5000,0.0017240840256214141,0.0032837808132171633,0.004323552250862123,0.004150268995761872,0.01085112094879151,0.0216707235574723
H-3,baseline_large,price,15,0,3,deep_otm_medium,5000,0.0003825501202495469,0.0010026257252320648,0.0016251608170568962,0.004254744852878355,0.010840244311839343,0.018177301082760115
H-3,baseline_large,price,16,1,3,otm_medium,5000,0.0005892156159769723,0.0016518780961632732,0.003407371876528516,0.007362836369301773,0.024110426008701325,0.052107636225409856
H-3,baseline_large,price,17,2,3,atm_medium,5000,0.00077210622230632,0.002196840569376946,0.004254905078560124,0.008286427356326021,0.025300291180610703,0.10388300180435249
H-3,baseline_large,price,18,3,3,itm_medium,5000,0.0006925961300730706,0.0017548322677612307,0.0026482959091663366,0.003716111874580383,0.01052926778793335,0.017692219614982605
H-3,baseline_large,price,19,4,3,deep_itm_medium,5000,0.0013899893641471863,0.002737593650817871,0.0035195511579513565,0.003175396275520325,0.008283287286758423,0.01277058720588685
H-3,baseline_large,price,20,0,4,deep_otm_long,5000,0.0005242880093172948,0.0013857997948889535,0.0031269066551453816,0.00516671930946102,0.01407302932348104,0.0288891798257828
H-3,baseline_large,price,21,1,4,otm_long,5000,0.00072435786026458,0.0020695149432867774,0.0045387107459828316,0.007730207835383543,0.025542026013135932,0.07907751648221165
H-3,baseline_large,price,22,2,4,atm_long,5000,0.0009610435983104253,0.002294121682643891,0.005822685193270458,0.006179170747986063,0.016602665185928345,0.07093549907207498
H-3,baseline_large,price,23,3,4,itm_long,5000,0.0009465021282434464,0.0020407289266586312,0.0030272299051284837,0.003103471577167511,0.007841098308563233,0.014984909892082227
H-3,baseline_large,price,24,4,4,deep_itm_long,5000,0.0014526394188404082,0.0029775440692901617,0.0040212631225585984,0.00371992963552475,0.01095442771911621,0.01879652976989747
