surrogate_id,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,iv_mae_mean,iv_mae_p95,iv_mae_p99,iv_failure_rate,vega_proxy_mean,iv_to_price_ratio
H-3,7,2,1,atm_short,5000,0.0017521171781807428,0.005460250703617936,0.008520016708644123,0.023044502164304356,0.07415245367965759,0.12348624660451543,0.021,0.0820554727208669,13.152374995964545
H-3,8,3,1,itm_short,5000,0.0014058457776904105,0.0035867258906364446,0.004836974889039995,0.03206619169836526,0.09340738579575819,0.14819380089804227,0.1534,0.04503812971295272,22.80918163800663
H-3,9,4,1,deep_itm_short,5000,0.0016056895673274994,0.0036109566688537617,0.0050373780727386505,0.25388318675566246,0.6704722983391691,0.8437902109585445,0.1462,0.008319232443229229,158.11473893937307
H-3,10,0,2,deep_otm_medium_short,5000,0.00040880459415451815,0.0011143406846940707,0.0018632022989913846,0.19019410561176223,0.8153611964071403,1.053255812952435,0.2658,0.009766631916625485,465.244540622441
H-3,11,1,2,otm_medium_short,5000,0.000750869881155156,0.00180073706433177,0.002655486445873982,0.021088894348836137,0.06591910047692473,0.2647885405736676,0.0842,0.0714433915367317,28.085950546308347
H-3,12,2,2,atm_medium_short,5000,0.0010835760123023648,0.00310566918924451,0.005282681267708548,0.008168029373002858,0.025412459794217707,0.044970839142228915,0.0036,0.14698839143970485,7.538030816728363
H-3,13,3,2,itm_medium_short,5000,0.0009989744901657105,0.0024977996945381173,0.0033086223155260096,0.012146383137913282,0.039258226597424645,0.06920322622301703,0.0144,0.11474358062277121,12.158852160377421
H-3,14,4,2,deep_itm_medium_short,5000,0.0017240840256214141,0.0032837808132171633,0.004323552250862123,0.08069031892149565,0.28331001046262366,0.440054037659421,0.015,0.04586697654582363,46.80184824078532
H-3,15,0,3,deep_otm_medium,5000,0.0003825501202495469,0.0010026257252320648,0.0016251608170568962,0.027936095769003556,0.1477577156248147,0.4437221093542072,0.0938,0.07415692142222857,73.02597565720316
H-3,16,1,3,otm_medium,5000,0.0005892156159769723,0.0016518780961632732,0.003407371876528516,0.004054276638527242,0.01493039303105666,0.03641369430704955,0.028,0.2044840950558292,6.880803102621251
H-3,17,2,3,atm_medium,5000,0.00077210622230632,0.002196840569376946,0.004254905078560124,0.0028475203030031643,0.008400341207450812,0.016634975846471823,0.0006,0.2908834413911106,3.6879903577223847
H-3,18,3,3,itm_medium,5000,0.0006925961300730706,0.0017548322677612307,0.0026482959091663366,0.003115131108996016,0.009151641167374769,0.019641678560538875,0.0038,0.26813001775462336,4.497759911923508
H-3,19,4,3,deep_itm_medium,5000,0.0013899893641471863,0.002737593650817871,0.0035195511579513565,0.014310175762793751,0.053188108249706975,0.1361600232381356,0.0046,0.18929323707612877,10.295169252301159
H-3,20,0,4,deep_otm_long,5000,0.0005242880093172948,0.0013857997948889535,0.0031269066551453816,0.008452603269031923,0.03115768063017623,0.15500034261324885,0.0648,0.1738085615451689,16.122061002384047
H-3,21,1,4,otm_long,5000,0.00072435786026458,0.0020695149432867774,0.0045387107459828316,0.0022434035785301475,0.006983276371940043,0.02003854501771791,0.0166,0.35152048877811715,3.097092889570797
H-3,22,2,4,atm_long,5000,0.0009610435983104253,0.002294121682643891,0.005822685193270458,0.002220718986914886,0.005410979847397038,0.013191227141390642,0.0008,0.4339255268523385,2.3107369851056174
H-3,23,3,4,itm_long,5000,0.0009465021282434464,0.0020407289266586312,0.0030272299051284837,0.002382214113229758,0.005678706989514021,0.01062439066691277,0.0026,0.42467817525900964,2.5168608100763166
H-3,24,4,4,deep_itm_long,5000,0.0014526394188404082,0.0029775440692901617,0.0040212631225585984,0.00570657394280973,0.017560515353710858,0.03623358627124562,0.002,0.3565682443616735,3.928417382040404
