surrogate_id,role,architecture,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
H-8-deep,deep,6x128,6,1,1,otm_short,5000,0.0017370437400256358,0.003720868143147982,0.005330494691079366,0.010535265777161303,0.030503053791471786,0.048397022907902425
H-8-deep,deep,6x128,7,2,1,atm_short,5000,0.002377399229445373,0.00524171367287636,0.007591862082481385,0.02550107585644294,0.09919291753321888,0.19692646738141806
H-8-deep,deep,6x128,8,3,1,itm_short,5000,0.0033634845018386842,0.006542621552944184,0.008064694032073024,0.013526333093643188,0.03754915893077851,0.056767929196357765
H-8-deep,deep,6x128,9,4,1,deep_itm_short,5000,0.0035169881045818327,0.006163358688354493,0.00765341341495514,0.007391353344917298,0.01890987753868104,0.029814710021019018
H-8-deep,deep,6x128,10,0,2,deep_otm_medium_short,5000,0.0010290401762572368,0.001892089734884195,0.002276266002500052,0.00482117114395106,0.011690332289913431,0.016461418084800245
H-8-deep,deep,6x128,11,1,2,otm_medium_short,5000,0.0013444788297407699,0.003226887155324222,0.004375744277785999,0.011220651427154667,0.02748467123019509,0.04140180678572511
H-8-deep,deep,6x128,12,2,2,atm_medium_short,5000,0.0022228972077071377,0.0048209942877292635,0.006194202899932866,0.014882563208113424,0.060177322663366804,0.1669969509914529
H-8-deep,deep,6x128,13,3,2,itm_medium_short,5000,0.002400700104236603,0.004994770884513855,0.006423344910144818,0.006758988118171692,0.018733245134353642,0.036943846344947816
H-8-deep,deep,6x128,14,4,2,deep_itm_medium_short,5000,0.002705757904052734,0.004903689026832581,0.006033427119255068,0.006618886148929596,0.017722758650779727,0.02739915251731873
H-8-deep,deep,6x128,15,0,3,deep_otm_medium,5000,0.000685969911306987,0.0016407741769837623,0.0022438694536685956,0.004942027225079611,0.01280502378940583,0.0198815985955298
H-8-deep,deep,6x128,16,1,3,otm_medium,5000,0.0007905673290409346,0.0020923910821750275,0.0033999558025971078,0.00789702748986928,0.022741437912918643,0.048224680908024446
H-8-deep,deep,6x128,17,2,3,atm_medium,5000,0.0009653067436025594,0.002470791339874268,0.004866532552987339,0.01046431319678668,0.023144266009330776,0.1310921806097033
H-8-deep,deep,6x128,18,3,3,itm_medium,5000,0.0010978118360042571,0.0027427405118942267,0.004197699427604677,0.004740187954902649,0.01243654489517212,0.01897117674350739
H-8-deep,deep,6x128,19,4,3,deep_itm_medium,5000,0.0017262661278247833,0.004178190231323243,0.005549433231353762,0.006325353074073791,0.01707831621170044,0.02426863789558412
H-8-deep,deep,6x128,20,0,4,deep_otm_long,5000,0.0012666497584671772,0.003272148594260216,0.004193054437637337,0.005095511561493018,0.014114681724458934,0.022723551802337216
H-8-deep,deep,6x128,21,1,4,otm_long,5000,0.0013696992258183387,0.0028057053685188295,0.0038470309093827475,0.008414123567158593,0.02292404472827912,0.07357779726386078
H-8-deep,deep,6x128,22,2,4,atm_long,5000,0.0015301951284924144,0.003419920802116395,0.006045884210616354,0.007341147752618417,0.01975839883089066,0.070554290865548
H-8-deep,deep,6x128,23,3,4,itm_long,5000,0.0013987378746271133,0.0033673554658889774,0.004468698799610141,0.004255303347110748,0.011398473381996161,0.02344424009323121
H-8-deep,deep,6x128,24,4,4,deep_itm_long,5000,0.0012006708800792695,0.0031904876232147225,0.004867085218429573,0.005512081170082092,0.015735676884651186,0.023932589888572733
H-9-lr-schedule,lr_schedule,4x128+plateau,0,0,0,deep_otm_weekly,5000,0.0013522666631791442,0.0039026419525248,0.008531052458743056,0.013613838053118867,0.03212034938439554,0.04739067314093751
H-9-lr-schedule,lr_schedule,4x128+plateau,1,1,0,otm_weekly,5000,0.0026868486724700696,0.007777400645409217,0.011278755555387366,0.027955374183125905,0.07245537785574926,0.10016404414120328
H-9-lr-schedule,lr_schedule,4x128+plateau,2,2,0,atm_weekly,5000,0.005227078053093817,0.01181319064926356,0.0156617818772793,0.06180856351517711,0.19035862237215045,0.27697709619998967
H-9-lr-schedule,lr_schedule,4x128+plateau,3,3,0,itm_weekly,5000,0.0032688613086938856,0.008238599449396134,0.011414064466953283,0.029157128655910493,0.06439608335494995,0.08716319382190713
H-9-lr-schedule,lr_schedule,4x128+plateau,4,4,0,deep_itm_weekly,5000,0.0015822748303413391,0.00456729680299759,0.007207078337669377,0.0074015336990356445,0.023212781548500063,0.034996812939643886
H-9-lr-schedule,lr_schedule,4x128+plateau,5,0,1,deep_otm_short,5000,0.0008935132040098917,0.002569907158613205,0.0045871880813501955,0.010318318469121837,0.025323446429257795,0.035781221979123076
H-9-lr-schedule,lr_schedule,4x128+plateau,6,1,1,otm_short,5000,0.001548767733410243,0.0043282666388847705,0.006671108876798832,0.01644829842565038,0.04541481243086136,0.06876502037048342
H-9-lr-schedule,lr_schedule,4x128+plateau,7,2,1,atm_short,5000,0.0020336265161935182,0.006209233030676847,0.010233192555203934,0.030685656538339937,0.1184317981824279,0.20912789970636453
H-9-lr-schedule,lr_schedule,4x128+plateau,8,3,1,itm_short,5000,0.001511438174545765,0.004199910908937456,0.00623249083757401,0.011286335062980652,0.03189180791378022,0.05314712882041935
H-9-lr-schedule,lr_schedule,4x128+plateau,9,4,1,deep_itm_short,5000,0.0008235236406326294,0.0024536743760108955,0.003856945335865029,0.004321446514129639,0.01353850066661835,0.02167526483535774
H-9-lr-schedule,lr_schedule,4x128+plateau,10,0,2,deep_otm_medium_short,5000,0.0005232567981944328,0.0015161806491960307,0.002555595680933039,0.006820385380778643,0.01783514302223921,0.024556350669299724
H-9-lr-schedule,lr_schedule,4x128+plateau,11,1,2,otm_medium_short,5000,0.0008242785755293528,0.0021439043096506795,0.003107668106968049,0.012069668102677988,0.03353882231749594,0.05395546391606333
H-9-lr-schedule,lr_schedule,4x128+plateau,12,2,2,atm_medium_short,5000,0.0012302417028440687,0.003677454590797425,0.005912353717722017,0.016305723174544984,0.06174158751964573,0.1620941150188448
H-9-lr-schedule,lr_schedule,4x128+plateau,13,3,2,itm_medium_short,5000,0.0005869693443179131,0.0016767323017120362,0.0027519579231739056,0.0045450768113136295,0.015089419484138496,0.026650446653366116
H-9-lr-schedule,lr_schedule,4x128+plateau,14,4,2,deep_itm_medium_short,5000,0.00043394612073898315,0.001238086819648743,0.0022304111719131476,0.002299574303627014,0.006427693367004396,0.010080770254135134
H-9-lr-schedule,lr_schedule,4x128+plateau,15,0,3,deep_otm_medium,5000,0.0003322757681169701,0.0009787766728550197,0.0017344565375242433,0.0037097902054008076,0.0106053214520216,0.019355802973732402
H-9-lr-schedule,lr_schedule,4x128+plateau,16,1,3,otm_medium,5000,0.0005219928557624804,0.001770428940653801,0.0039015877991915066,0.006838774941132018,0.026557050971314316,0.060493397414684354
H-9-lr-schedule,lr_schedule,4x128+plateau,17,2,3,atm_medium,5000,0.0005245612769285799,0.0019456658512353904,0.004380108457989995,0.007356465670117177,0.02675030529499054,0.11846864670515113
